SourceID,Type,CompletionDate,Location,Title,Verification,Notes
WS1-A,local-video,2024-05-23,"D:\_THE KINETIC ALPHABET\_WORD_VIDEOS\kinetic fire 2024 words with friends.mp4","Kinetic Fire 2024 - Words with Friends",verified,"59.57 sec; 2160x2160; 676334651 bytes; embedded creation 2024-05-23T05:14:42Z; SHA256 1DB23C274C81A562EAD023392E4DB3D36202668688A4606E3A7F67F6A3856EC7"
WS1-B,local-video,2024-04-20,"D:\_THE KINETIC ALPHABET\_TUTORIALS\First series - 1 thru 7\Individual Vids - HD\1. The Grid.mp4","The Grid",verified,"224.86 sec; 1080x1080; embedded creation 2024-04-20T18:52:45Z; SHA256 55C6A8B805D360ED07A7DFA3ED9B763128B1BBDAB01A359AC6305509701EF299"
WS1-C,local-video,2024-12-28,"D:\_THE KINETIC ALPHABET\_WORD_VIDEOS\OmLam-XJ.mp4","OmLam-XJ",needs-corroboration,"43.67 sec; 720x1280; 3730021 bytes; no embedded creation date; SHA256 0A1221EFE1D76DB3AA7A4BADF2DF77F6A5DC32993C49AA45788988CCB5346806"
WS2-A,repository-pdf,2023-11-25,"docs/TKA Level 1 Guide.pdf","The Kinetic Alphabet 1",verified,"80 pages; 6889417 bytes; PDF CreationDate Nov 25 2023; SHA256 3ACB3D2836F043D0809610D2CE9D05E9D2FC1CB74DD3C125D0D261873A45DBAC"
WS2-B,local-video,2023-01-21,"D:\_CIRQUE AFLAME\_MEDIA\_LED\Hallucinating - Partner Poi Act 2022.mp4","Hallucinating - Partner Poi Act",needs-date-resolution,"Filename says 2022; embedded creation 2023-01-21; 210.48 sec; SHA256 161AD5ED1008FBB769BEE8749508F6DCA0358B20948908C05CD66C9E5A492169"
WS2-C,local-pdf,2023-06-23,"D:\_THE KINETIC ALPHABET\_ACTS\1940\1940.pdf","1940 choreography score",verified,"Authored choreography score; role and credits need Austen confirmation"
EMAIL-01,gmail-attachment,2025-04-06,"message 1960cb394b7c5ce4","Fund the Flow Arts grant agreement",verified,"$1500 award for The Kinetic Alphabet; private agreement not copied into repo"
EMAIL-02,gmail-attachment,2025-03-18,"message 195aa6c08816e87a","2024-2025 Seed Fund application",verified,"Seven-page first-person application; private copy not copied into repo"
EMAIL-03,gmail-message,2025-09-15,"message 1994fb8752712f4c","2025 Seed Fund check-in",verified,"First-person progress report and attached project media inventory"
EMAIL-04,gmail-thread,2026-04-08,"thread 19d7046192cd744f","FireDrums 2026 sponsored instructor acceptance",verified,"Accepted TKA 1 Learning Letters; TKA 2 Writing Words; TKA 3 Speaking Sentences"
EMAIL-05,gmail-message,2026-06-14,"message 19ec87fa1971e934","Flow Arts Institute payment",verified,"$200 payment; financial detail beyond amount omitted"
EMAIL-06,gmail-message,2026-06-16,"message 19ed257ddd197a1f","Flowtoys TKA follow-up",verified,"Third-party recognition after Austen's FireDrums presentation"
EMAIL-07,gmail-message,2023-05-25,"message 18854c5f9632d4d1","PlayThink Flowcase submission",verified,"Artist bio plus two collaborative performance videos"
EMAIL-08,gmail-message,2018-07-26,"message 164d5186eadd43cd","Taco Tuesday pictures",verified,"Earliest dated Taco Tuesday evidence found in Gmail"
REPO-01,public-page,2026-08-31,"https://tkaflowarts.com/composer","Flow Arts Composer public page",verified,"Opened publicly; supporting evidence only because software development is ineligible"
REPO-02,repository-index,2026-08-31,"docs/tutorial-video-voiceover/Master-Video-Index.csv","Master video index",verified,"Lists 2023 word videos and 2024 tutorial videos"
REPO-03,repository-ledger,2026-08-30,"docs/grants/drafts/EPIC-00-interview-source-ledger.md","Epic interview source ledger",verified,"Primary source for Austen's current voice"
PUBLIC-01,public-video,unknown,"https://youtu.be/aTV3rtOIshU","Quintessence",public-link-verified,"Role and completion date need Austen confirmation"
PUBLIC-02,public-video,unknown,"https://youtu.be/5k-aGn0nxLY","Hallucinating",public-link-verified,"Role and completion date need Austen confirmation"
PUBLIC-03,public-video,2024,"https://youtu.be/c1AzCYasT-g?t=378","GLF 2024 Showcase",public-link-verified,"Exact segment and role need Austen confirmation"
